ProductKey,ProductName,Category,Size,BasePrice,Cost,IsActive
1,Espresso,Coffee,Single,2.75,0.45,True
2,Espresso,Coffee,Double,3.5,0.65,True
3,Americano,Coffee,Small,3.25,0.5,True
4,Americano,Coffee,Medium,3.75,0.55,True
5,Americano,Coffee,Large,4.25,0.6,True
6,Latte,Coffee,Small,4.5,0.85,True
7,Latte,Coffee,Medium,5.0,0.95,True
8,Latte,Coffee,Large,5.5,1.05,True
9,Cappuccino,Coffee,Small,4.5,0.85,True
10,Cappuccino,Coffee,Medium,5.0,0.95,True
11,Cappuccino,Coffee,Large,5.5,1.05,True
12,Mocha,Coffee,Medium,5.25,1.1,True
13,Cold Brew,Coffee,Medium,4.5,0.7,True
14,Cold Brew,Coffee,Large,5.0,0.8,True
15,Green Tea,Tea,Medium,3.5,0.4,True
16,Chai Latte,Tea,Medium,4.75,0.9,True
17,Croissant,Pastry,Regular,3.75,1.2,True
18,Blueberry Muffin,Pastry,Regular,3.5,1.1,True
19,Chocolate Chip Cookie,Pastry,Regular,2.5,0.75,True
20,Seasonal Scone,Pastry,Regular,3.25,1.0,True
21,Pumpkin Spice Latte,Coffee,Medium,5.75,1.25,False
22,Peppermint Mocha,Coffee,Medium,5.75,1.3,False
23,Breakfast Sandwich,Food,Regular,6.5,2.5,True
24,Avocado Toast,Food,Regular,7.5,3.0,True
